insurer_name,insurer_type,solvency_ratio,claims_ratio,premium_growth,reserve_adequacy,liquidity_ratio,compliance_score,policy_count,year,quarter,risk_label,anomaly_flag
CBZ Life,reinsurer,1.6241,0.1,0.4126,0.7816,1.4872,0.9128,4454,2024,2,strong,0
ZB Life Assurance,composite,1.7486,0.6907,0.114,0.8964,1.3135,0.9287,4351,2019,2,strong,0
NicozDiamond Brokers,reinsurer,2.2345,0.7148,-0.1913,0.8799,1.2631,0.7438,1070,2019,1,adequate,0
CBZ Life,reinsurer,1.4533,0.6341,0.2313,0.7345,1.1556,0.9737,2849,2020,1,adequate,0
Tristar Insurance,composite,0.8879,0.7223,-0.3671,0.3387,1.7392,0.8528,2147,2022,4,watch,1
Nicoz Diamond Insurance,life,1.5823,0.9491,-0.1716,0.7356,1.3499,0.99,4368,2019,1,adequate,0
Sanctuary Insurance,reinsurer,0.8941,0.2616,0.0161,0.9239,1.0153,0.5277,2702,2023,1,adequate,1
Fidelity Life Assurance,general,0.7136,0.6798,-0.1552,0.8739,1.2544,0.5892,4530,2021,2,adequate,1
Zimnat Life Assurance,general,1.4756,0.5263,0.0281,0.9669,1.4216,0.6322,7732,2022,2,strong,0
Alliance Insurance,life,1.3223,0.4218,0.2054,0.8929,1.5785,0.7673,1417,2022,1,strong,0
Old Mutual Life Assurance Zimbabwe,reinsurer,0.9675,0.515,0.0518,0.9444,1.7587,0.7081,2454,2024,2,adequate,0
NicozDiamond Brokers,general,1.25,0.9286,-0.1206,0.7325,1.0811,0.8347,3478,2021,2,adequate,0
Heritage Life Assurance,life,1.2794,0.8242,0.0406,0.9109,1.2754,0.9363,3652,2021,4,adequate,0
First Mutual Life,reinsurer,1.2883,0.208,0.2093,1.1076,1.2417,0.9691,6882,2021,1,strong,0
CABS Insurance,general,1.4204,0.5681,0.1398,0.917,1.5754,0.9491,671,2018,2,strong,0
Nicoz Diamond Insurance,reinsurer,1.7065,0.7514,-0.092,0.8377,1.3224,0.9101,4352,2019,4,adequate,0
First Mutual Health,general,1.2852,1.0416,0.0654,0.8073,1.0819,0.5101,2201,2022,4,adequate,0
RM Life Zimbabwe,life,1.1269,0.3949,-0.1025,0.69,1.2355,0.6987,2600,2022,2,adequate,0
ZB Bank Insurance,reinsurer,1.3748,0.148,0.1301,0.7481,1.2413,0.5396,4874,2022,2,strong,0
Heritage Life Assurance,general,1.5371,0.8962,-0.0543,0.6925,1.4034,0.8318,1077,2021,1,adequate,0
Cell Insurance,life,0.6422,0.7772,-0.0201,0.6907,0.8124,0.9087,2354,2023,2,watch,1
Fidelity Life Zimbabwe,reinsurer,1.7289,0.3672,-0.0851,0.9708,1.1713,0.568,12451,2018,1,strong,0
ZB Bank Insurance,composite,1.1876,0.9917,0.4121,0.6232,1.2428,0.6955,5664,2024,2,watch,0
Fidelity Life Zimbabwe,composite,1.0364,0.9175,0.4485,0.8763,1.6692,0.8441,2966,2021,1,adequate,0
First Mutual Health,life,1.2233,0.6193,0.0128,0.8703,0.7779,0.5788,5410,2020,3,adequate,0
Nicoz Diamond Insurance,composite,1.39,0.1868,-0.1623,0.6466,1.7494,0.8785,2680,2020,3,strong,0
Tristar Insurance,composite,2.4299,0.4066,0.3139,0.8377,1.0605,0.6415,8250,2023,4,strong,0
Old Mutual Life Assurance Zimbabwe,life,1.1434,0.8304,0.204,1.0265,1.2618,0.7363,1099,2020,4,adequate,0
Cell Insurance,composite,1.587,0.8847,-0.0086,0.6613,1.0546,0.9545,12389,2024,2,adequate,0
Tristar Insurance,reinsurer,1.1964,0.3901,0.1485,0.8553,1.8498,0.5261,2470,2024,4,strong,0
Fidelity Life Zimbabwe,general,1.6686,0.8934,0.1058,0.6139,1.4555,0.759,4297,2022,1,adequate,0
CABS Insurance,general,2.3212,0.882,0.3214,0.6981,1.2127,0.7682,8986,2022,4,adequate,0
Fidelity Life Zimbabwe,composite,1.7778,0.9465,-0.2608,0.7928,1.0811,0.7591,20246,2023,4,adequate,0
Old Mutual Zimbabwe,reinsurer,1.6055,0.6207,0.1465,1.0043,0.6231,0.8479,3362,2019,3,adequate,0
Fidelity Life Assurance,general,1.3436,0.9652,0.1217,1.0075,1.0906,0.6754,3321,2022,4,adequate,0
First Mutual Health,composite,1.0223,0.7198,-0.0393,0.698,1.0917,0.7673,3604,2022,1,adequate,0
Old Mutual Life Assurance Zimbabwe,general,0.9267,0.9518,-0.4,0.7985,1.9761,0.8861,2876,2021,4,watch,0
Zimnat General Insurance,composite,1.7387,0.1441,0.0705,1.0321,0.8086,0.7276,2428,2024,4,strong,0
Zimnat Life Assurance,reinsurer,1.7553,0.6978,0.2539,0.8244,1.3526,0.6213,16768,2022,3,adequate,0
ZB Bank Insurance,life,1.4489,0.7075,-0.0897,0.9378,1.2302,0.9582,4653,2019,2,adequate,0
RM Insurance,general,1.595,0.5419,0.1895,0.9115,1.5798,0.7281,6079,2021,2,strong,0
Sanctuary Insurance,life,1.4648,0.4954,-0.2407,1.0502,1.4797,0.8562,7177,2024,2,strong,0
Heritage Insurance,composite,1.2769,0.7955,-0.0419,0.9443,1.5732,0.8834,8403,2023,1,adequate,0
Zimnat Life Assurance,general,1.2675,0.4122,-0.0026,0.8163,1.3442,0.7165,9638,2019,4,strong,0
Old Mutual Zimbabwe,life,2.1554,0.7707,0.2014,0.7952,1.4132,0.821,5443,2019,4,adequate,0
Tristar Insurance,reinsurer,1.3736,1.0374,-0.0419,1.063,1.1066,0.9402,20803,2021,4,adequate,0
RM Insurance,reinsurer,1.7521,0.6075,-0.1896,0.7732,1.4195,0.5215,1506,2019,2,strong,0
First Mutual Health,life,1.2886,0.4476,-0.0655,0.8217,1.5957,0.6151,11112,2024,4,strong,0
ZB Life Assurance,life,1.3222,0.1324,0.1086,0.7986,1.1142,0.5875,6560,2023,2,strong,0
NicozDiamond Brokers,reinsurer,0.9036,0.8938,-0.3081,0.84,1.0755,0.7274,6465,2021,2,watch,0
ZB Bank Insurance,reinsurer,1.823,0.781,-0.0626,0.8459,1.3266,0.6653,6061,2023,1,adequate,0
Heritage Insurance,reinsurer,1.442,0.7566,0.2223,1.1035,1.083,0.5789,6358,2019,1,adequate,0
ZB Bank Insurance,composite,1.2636,0.8867,0.3177,1.009,1.0437,0.5959,3803,2023,4,adequate,0
Fidelity Life Zimbabwe,general,1.4527,0.2584,0.1132,1.1726,0.8693,0.8548,5740,2022,3,strong,0
Sanctuary Insurance,reinsurer,1.0856,0.4483,0.1799,0.9432,1.088,0.6847,2777,2020,4,adequate,0
CABS Insurance,composite,1.8717,0.492,0.233,0.875,0.7411,0.6948,4428,2021,3,strong,0
CABS Insurance,reinsurer,1.0488,1.0014,0.3529,1.0483,1.0744,0.605,6500,2021,3,adequate,0
Tristar Insurance,reinsurer,1.5537,0.4438,0.0696,0.8156,1.2099,0.5716,5023,2018,4,strong,0
RM Insurance,composite,1.3357,0.2626,0.0101,0.8794,1.0157,0.9748,8625,2023,4,strong,0
Alliance Insurance,life,1.3047,0.114,0.081,0.6918,1.1726,0.6184,1708,2019,2,strong,0
First Mutual Life,general,1.6876,0.1746,-0.0245,0.861,1.5759,0.7816,1392,2021,1,strong,0
Cell Insurance,general,1.609,0.3677,0.0274,0.8645,1.1744,0.7571,14603,2022,4,strong,0
RM Life Zimbabwe,life,1.1791,0.4343,-0.003,0.815,1.3483,0.9512,2177,2023,4,adequate,0
ZB Bank Insurance,reinsurer,1.6813,0.3817,-0.0206,1.0459,1.0607,0.8784,1599,2018,1,strong,0
Fidelity Life Assurance,life,1.4597,0.9083,-0.0613,0.8481,1.3495,0.5218,15747,2021,4,adequate,0
Old Mutual Zimbabwe,general,1.3302,0.9799,-0.0141,0.4953,1.4855,0.8267,2542,2018,1,adequate,0
Old Mutual Zimbabwe,reinsurer,1.3259,0.3802,0.0931,0.8084,1.7343,0.7444,7690,2023,4,strong,0
CBZ Life,reinsurer,1.825,0.6225,0.4086,0.8785,1.53,0.9699,3897,2018,3,strong,0
Heritage Life Assurance,life,1.3706,0.9949,-0.044,0.9079,0.6404,0.6255,5773,2022,4,adequate,0
First Mutual Health,reinsurer,1.485,0.6652,0.195,0.8453,1.5347,0.5666,3006,2020,2,strong,0
Moonlight Insurance,composite,1.9077,0.8603,0.2839,0.9998,1.6557,0.9163,543,2018,4,adequate,0
Old Mutual Zimbabwe,general,1.5009,0.8232,-0.2119,0.9722,1.4394,0.9753,6235,2022,4,adequate,0
Minerva Risk Advisors,general,1.7897,0.4718,0.1215,1.0595,1.2726,0.8244,10814,2022,2,strong,0
Zimnat General Insurance,composite,0.5524,1.0143,-0.0869,0.9005,0.9605,0.7325,2858,2023,2,watch,1
NicozDiamond Brokers,composite,0.7694,0.8757,0.2594,0.8862,1.2316,0.906,4773,2022,2,watch,0
Zimnat General Insurance,general,1.5484,0.651,-0.1567,0.6677,1.5868,0.9153,5826,2019,1,adequate,0
Sanctuary Insurance,life,2.07,1.0203,-0.005,0.6813,1.8334,0.6401,6579,2023,1,adequate,0
Fidelity Life Assurance,reinsurer,1.6577,0.9172,-0.0322,0.8835,1.0701,0.8402,6019,2022,2,adequate,0
Alliance Insurance,general,1.5057,0.6081,0.0902,0.7575,1.2067,0.7088,1077,2023,1,adequate,0
Old Mutual Zimbabwe,life,1.4153,0.6078,0.2358,0.987,1.4266,0.5032,5474,2024,3,strong,0
Sanctuary Insurance,composite,1.0965,0.4239,-0.1614,0.7913,1.4549,0.749,13578,2018,3,adequate,0
Heritage Life Assurance,general,1.9004,0.4601,0.0611,0.5615,1.2671,0.634,1967,2023,4,strong,0
Zimnat General Insurance,reinsurer,1.4734,0.9437,0.272,0.7234,1.1598,0.6393,1784,2022,1,adequate,0
CBZ Life,life,1.153,0.7881,-0.1966,0.8173,0.8545,0.8399,17047,2018,2,adequate,0
NicozDiamond Brokers,general,1.4026,0.4837,0.0332,0.9713,1.1936,0.8562,4538,2019,2,strong,0
Heritage Life Assurance,life,1.632,0.5577,0.0564,0.9323,1.8353,0.7765,4756,2018,2,strong,0
FBC Insurance,life,1.7076,0.548,-0.0346,0.9612,1.4789,0.9489,1168,2024,1,strong,0
RM Insurance,life,2.187,0.3755,-0.0726,0.8408,1.0994,0.6903,10881,2018,3,strong,0
Fidelity Life Zimbabwe,life,2.1069,0.863,0.1368,1.0609,1.0313,0.8984,807,2024,1,adequate,0
CABS Insurance,composite,1.4253,0.1768,0.1173,0.5783,1.0709,0.7601,5256,2019,3,strong,0
CBZ Life,reinsurer,1.6949,0.5844,-0.0562,0.8558,1.8168,0.6787,5975,2020,3,strong,0
Minerva Risk Advisors,general,2.0926,1.0334,-0.0041,0.8637,1.0833,0.9683,2855,2019,4,adequate,0
ZB Bank Insurance,general,0.7906,0.1,0.194,0.7976,0.9176,0.6383,4622,2024,4,adequate,0
CABS Insurance,general,1.7261,0.4485,0.0162,0.5141,1.4013,0.8459,4656,2021,4,strong,0
FBC Insurance,general,1.3737,1.0688,0.0909,0.9176,0.8521,0.9394,22351,2023,4,adequate,0
CABS Insurance,reinsurer,1.2078,0.8229,-0.2132,1.1196,1.3047,0.6788,1903,2024,2,adequate,0
NicozDiamond Brokers,life,1.607,0.9522,-0.1286,0.9525,1.1342,0.5253,6706,2018,2,adequate,0
Zimnat General Insurance,general,1.4756,0.6694,-0.1796,0.8025,1.5244,0.7338,3866,2019,2,strong,0
Cell Insurance,composite,1.8026,0.281,-0.141,0.741,1.6955,0.5496,1562,2022,4,strong,0
FBC Insurance,general,1.3646,0.3534,0.2766,0.7949,1.3481,0.77,1373,2022,1,strong,0
CBZ Life,life,1.6354,0.8941,0.1586,0.7291,1.2304,0.7609,5488,2020,4,adequate,0
Alliance Insurance,general,0.7566,0.972,0.1429,0.8506,1.1796,0.5414,1763,2024,4,watch,1
Alliance Insurance,life,0.566,0.3002,0.1724,0.7576,1.1978,0.5765,3163,2021,1,adequate,1
NicozDiamond Brokers,general,1.8412,0.813,-0.004,1.0102,1.0487,0.5733,2374,2023,3,adequate,0
ZB Life Assurance,reinsurer,1.3361,0.8177,0.0594,1.2249,1.2772,0.6738,5989,2024,4,adequate,0
First Mutual Life,life,1.3718,0.2668,0.2146,0.8472,1.0593,0.6335,5978,2022,2,strong,0
FBC Insurance,general,1.0824,0.5336,-0.1237,0.8006,1.0861,0.8197,3822,2021,2,adequate,0
Minerva Risk Advisors,composite,2.0056,0.3079,0.2874,0.8152,1.8708,0.7436,5639,2022,2,strong,0
NicozDiamond Brokers,general,1.5144,0.5651,0.1815,0.687,1.1553,0.9741,8164,2024,4,adequate,0
CBZ Life,reinsurer,1.4333,0.6287,0.0462,0.9179,1.476,0.5576,1941,2019,4,strong,0
Fidelity Life Assurance,reinsurer,1.4188,0.4927,-0.2019,1.0726,1.6706,0.6298,3451,2018,1,strong,0
CABS Insurance,general,1.835,0.7039,0.0436,0.7933,1.3259,0.704,2722,2021,3,adequate,0
Fidelity Life Zimbabwe,general,1.6192,0.6849,-0.1009,0.7538,1.6257,0.7593,7689,2019,2,adequate,0
RM Insurance,composite,1.9744,0.2711,-0.3964,0.5111,0.8572,0.5992,1414,2020,4,strong,1
ZB Bank Insurance,life,1.6179,0.6929,0.1825,0.8745,1.5527,0.7416,7560,2020,3,strong,0
NicozDiamond Brokers,composite,1.3945,0.5554,0.1305,1.1452,1.2891,0.5539,3018,2018,2,strong,0
Heritage Life Assurance,life,1.3529,0.7607,0.2326,0.7772,0.9548,0.5851,4873,2024,4,adequate,0
Fidelity Life Zimbabwe,life,1.3182,0.9947,0.3313,1.0252,1.9753,0.9761,14448,2019,4,adequate,0
FBC Insurance,life,0.96,0.9953,0.0316,0.9596,1.3825,0.8914,7465,2023,1,adequate,0
First Mutual Life,general,1.756,0.4276,-0.2648,0.9217,0.8372,0.6084,3361,2020,4,strong,0
Sanctuary Insurance,life,1.3517,0.865,-0.0879,0.6061,1.0612,0.6214,4945,2023,1,adequate,0
Moonlight Insurance,general,1.3645,0.2248,-0.0035,0.9498,0.9467,0.6227,2651,2024,1,strong,0
First Mutual Health,composite,0.848,0.8644,0.1371,0.7503,1.3279,0.5365,851,2018,1,watch,1
Moonlight Insurance,life,1.1147,0.2764,0.0926,0.9657,0.9585,0.6059,8667,2024,1,strong,0
Minerva Risk Advisors,composite,1.2765,0.8958,0.1203,1.122,1.3109,0.806,5387,2019,2,adequate,0
Zimnat General Insurance,general,1.8518,0.638,0.4697,0.7676,1.5965,0.5805,1376,2020,1,strong,0
Old Mutual Life Assurance Zimbabwe,life,1.3018,0.7722,0.6,0.9432,0.836,0.6635,2172,2020,3,adequate,0
Heritage Life Assurance,composite,1.8156,0.7298,0.3135,0.904,1.6351,0.5327,3513,2019,4,strong,0
ZB Life Assurance,life,1.2728,0.7323,0.2354,0.8557,1.049,0.9635,8357,2024,2,adequate,0
Sanctuary Insurance,composite,1.7111,0.4325,0.2447,0.9122,1.2896,0.849,5737,2020,3,strong,0
CABS Insurance,general,2.3569,0.7034,0.2244,0.7984,0.9908,0.8103,6010,2020,4,adequate,0
CABS Insurance,general,1.6926,0.5969,-0.1634,0.9171,1.1948,0.6409,12690,2019,1,strong,0
First Mutual Life,life,1.8909,1.0739,-0.0564,0.8605,1.0487,0.5014,1959,2019,2,adequate,0
Heritage Insurance,composite,0.6812,0.7441,-0.0074,0.8742,1.2187,0.8115,3326,2024,1,watch,1
RM Life Zimbabwe,general,0.8834,0.3634,0.2916,0.6155,1.6065,0.7594,8079,2024,1,adequate,0
Tristar Insurance,general,0.8374,0.5956,0.0564,0.8144,0.9659,0.5797,4619,2022,1,adequate,1
CBZ Life,composite,1.5397,0.3044,0.0081,0.8409,1.3417,0.8724,1855,2018,4,strong,0
FBC Insurance,life,1.3354,0.7296,0.1596,0.8343,1.1271,0.8798,967,2018,3,adequate,0
First Mutual Health,composite,0.9736,0.8111,0.0943,0.785,1.4185,0.8153,3143,2021,3,adequate,0
Sanctuary Insurance,general,1.2382,0.71,0.0459,0.9293,1.3586,0.973,3420,2018,3,adequate,0
First Mutual Life,general,1.5699,1.0069,0.151,1.1566,1.3681,0.9481,8306,2022,4,adequate,0
Alliance Insurance,composite,1.6149,0.4414,-0.0666,0.9066,1.3556,0.9426,6219,2021,1,strong,0
Alliance Insurance,general,1.9503,0.5685,0.124,0.6857,1.2167,0.9844,3788,2023,3,adequate,0
Moonlight Insurance,life,0.9372,0.4281,-0.2928,0.8665,1.5942,0.5845,1282,2022,3,adequate,1
FBC Insurance,life,1.1493,0.7857,-0.1435,0.8494,1.2829,0.7403,1495,2023,2,adequate,0
Minerva Risk Advisors,general,1.6953,0.1802,0.3477,0.8392,0.9043,0.9465,4882,2021,1,strong,0
Tristar Insurance,life,0.5085,1.1581,0.0842,0.9609,1.6888,0.8585,1223,2022,4,watch,1
First Mutual Health,reinsurer,1.4593,0.6827,-0.1476,0.8412,1.1422,0.6726,5094,2020,2,adequate,0
NicozDiamond Brokers,general,1.416,0.173,0.0359,0.8219,1.0407,0.5042,6415,2024,4,strong,0
Tristar Insurance,life,1.2835,0.4239,-0.0372,0.9132,1.3686,0.9649,3494,2022,4,strong,0
CBZ Life,reinsurer,1.6196,0.5696,0.2429,0.8339,1.0696,0.55,5349,2020,4,strong,0
RM Insurance,general,1.4076,0.7217,0.3204,0.8416,1.1327,0.5668,2056,2022,4,adequate,0
Cell Insurance,composite,0.9715,0.4616,-0.0246,0.9503,1.1954,0.6842,3053,2023,2,adequate,0
RM Insurance,life,1.1108,0.6548,-0.1022,1.0049,1.504,0.6753,6917,2022,3,adequate,0
Tristar Insurance,reinsurer,1.1838,0.9257,0.2541,0.9239,0.7733,0.5698,8147,2021,2,adequate,0
Tristar Insurance,life,1.4814,1.0536,-0.1467,0.683,1.2036,0.6133,2564,2024,4,adequate,0
Fidelity Life Assurance,life,0.9757,0.8821,-0.0125,0.9843,0.6981,0.6949,3236,2022,2,watch,0
Heritage Life Assurance,reinsurer,1.3123,0.407,-0.0653,0.8942,1.2872,0.8524,2783,2019,2,strong,0
CBZ Life,reinsurer,1.4411,0.9291,-0.248,1.0485,1.8695,0.5748,822,2019,3,adequate,0
Minerva Risk Advisors,composite,1.6392,0.6937,-0.0386,1.2744,1.3089,0.5616,6104,2024,1,strong,0
Heritage Life Assurance,general,1.3028,0.68,0.2204,0.9929,1.503,0.6109,5715,2022,4,adequate,0
Heritage Life Assurance,general,1.8846,0.2973,0.4234,1.0632,1.0106,0.6913,4957,2024,3,strong,0
CBZ Life,general,1.1297,0.9441,0.264,0.9966,1.2214,0.7659,2719,2018,3,adequate,0
ZB Life Assurance,life,1.0376,0.7641,0.2152,1.1531,1.4692,0.968,4265,2024,4,adequate,0
Heritage Life Assurance,general,1.127,0.3503,0.0504,1.0749,1.2427,0.967,3123,2019,2,strong,0
NicozDiamond Brokers,general,0.9063,0.8635,-0.0255,0.6068,1.5335,0.8043,5660,2019,4,watch,0
CABS Insurance,composite,1.2881,0.6298,-0.3425,0.8846,1.2262,0.725,7702,2023,2,adequate,0
Alliance Insurance,composite,1.0644,0.5926,-0.1759,0.6649,1.0233,0.6574,8234,2021,3,adequate,0
Moonlight Insurance,composite,1.4605,0.3974,0.0848,0.7491,1.8276,0.6424,3122,2020,2,strong,0
Old Mutual Zimbabwe,reinsurer,1.3489,0.5364,-0.1245,0.9257,1.3713,0.8719,13183,2022,2,strong,0
CABS Insurance,general,1.3963,0.7304,0.1613,0.8359,1.1773,0.6662,39350,2019,4,adequate,0
Zimnat General Insurance,reinsurer,1.719,0.7173,0.1646,0.7255,1.3728,0.9367,4383,2020,2,adequate,0
Minerva Risk Advisors,composite,1.1299,0.9531,-0.2629,0.6588,1.0734,0.7812,2413,2024,3,watch,0
RM Insurance,life,1.1644,0.8345,0.0322,0.897,1.1295,0.6623,12085,2020,1,adequate,0
Old Mutual Life Assurance Zimbabwe,reinsurer,1.1789,0.6003,-0.2259,0.8794,2.1196,0.8543,2887,2020,4,adequate,0
Nicoz Diamond Insurance,reinsurer,1.1959,0.843,0.3011,0.7841,1.4421,0.9326,5487,2021,3,adequate,0
NicozDiamond Brokers,general,1.3526,0.4464,0.1063,0.726,1.119,0.7089,1659,2022,3,adequate,0
Alliance Insurance,composite,1.3193,0.5627,0.2593,0.7399,0.9789,0.5644,3136,2024,3,adequate,0
Moonlight Insurance,general,1.3509,0.8477,0.104,0.737,1.0765,0.8389,13984,2020,3,adequate,0
Nicoz Diamond Insurance,life,0.9852,0.7876,-0.1248,0.7264,1.2218,0.7115,10520,2023,2,adequate,0
Tristar Insurance,general,1.5492,0.7249,-0.0012,0.8552,1.5629,0.7899,10190,2024,1,strong,0
RM Insurance,composite,1.3824,0.3805,0.2647,0.7868,1.0623,0.9867,9966,2023,1,strong,0
Sanctuary Insurance,reinsurer,2.1821,0.6459,0.0878,0.9169,1.2414,0.7553,7348,2019,2,strong,0
ZB Life Assurance,general,1.2588,0.624,0.297,0.9352,0.9532,0.9227,1357,2018,4,adequate,0
Fidelity Life Assurance,reinsurer,1.2329,0.5461,0.0636,1.0133,0.7512,0.5628,2103,2023,3,adequate,0
Moonlight Insurance,reinsurer,0.9993,0.6991,0.3715,0.9907,1.4626,0.933,695,2018,4,adequate,0
Old Mutual Zimbabwe,composite,1.2993,0.8359,0.3854,0.6789,1.481,0.5543,5354,2021,1,adequate,0
CBZ Life,general,1.7346,0.4064,-0.0506,0.7978,1.1922,0.6914,2315,2018,1,strong,0
Old Mutual Life Assurance Zimbabwe,composite,1.4745,0.5157,0.073,0.9768,1.0204,0.5237,3105,2020,3,strong,0
Nicoz Diamond Insurance,life,1.3278,0.8111,0.284,1.1296,1.0252,0.696,5958,2024,3,adequate,0
Moonlight Insurance,general,1.4003,0.9771,0.1096,0.8214,1.8043,0.5672,17088,2019,3,adequate,0
CABS Insurance,reinsurer,1.0521,1.0033,-0.122,0.9152,1.2442,0.6598,10564,2022,2,adequate,0
Fidelity Life Assurance,reinsurer,0.8576,0.5431,0.0379,1.0341,0.9196,0.7943,1983,2021,2,adequate,0
Heritage Life Assurance,life,0.831,0.2822,0.0089,0.7418,0.9771,0.5247,4608,2018,4,adequate,1
RM Insurance,general,1.2875,0.6626,0.1716,0.614,1.3862,0.5875,3768,2023,4,adequate,0
FBC Insurance,reinsurer,1.5749,0.6119,0.1982,0.7709,1.2621,0.5716,1265,2020,2,adequate,0
Heritage Life Assurance,general,1.5011,0.9893,0.0428,1.0018,1.1838,0.5178,3892,2024,3,adequate,0
Zimnat General Insurance,general,1.2928,0.1448,-0.1032,1.0601,1.3711,0.6318,2017,2020,2,strong,0
Old Mutual Zimbabwe,reinsurer,1.0828,0.9848,0.4639,1.1103,1.0962,0.9799,4875,2024,4,adequate,0
Fidelity Life Assurance,general,1.5219,0.6807,0.0086,0.8971,1.4711,0.84,9987,2023,2,strong,0
ZB Bank Insurance,reinsurer,1.2065,0.5689,0.4269,0.6264,1.7646,0.8173,7000,2022,2,adequate,0
Zimnat Life Assurance,life,1.044,0.626,-0.0962,0.9843,1.0151,0.9656,3286,2019,4,adequate,0
Heritage Insurance,general,1.3439,0.8737,0.2528,0.8735,1.7888,0.6034,3241,2022,2,adequate,0
NicozDiamond Brokers,composite,1.166,0.4382,0.0738,0.666,1.0753,0.833,4459,2021,2,adequate,0
Fidelity Life Zimbabwe,composite,1.0729,0.6147,0.073,0.8665,0.9792,0.6462,12032,2020,1,adequate,0
Old Mutual Zimbabwe,reinsurer,1.1822,0.8836,0.1568,0.8128,1.2936,0.5022,2247,2024,2,adequate,0
Old Mutual Zimbabwe,life,1.5343,0.5,-0.2362,0.9292,1.7682,0.9682,8981,2019,4,strong,0
RM Life Zimbabwe,general,1.5158,0.2935,0.1142,0.6618,1.6509,0.7388,3676,2019,4,strong,0
RM Insurance,composite,1.7305,0.806,0.2931,0.7744,0.941,0.6911,1821,2022,1,adequate,0
Nicoz Diamond Insurance,general,0.6544,0.8688,0.2281,0.8887,1.3708,0.5324,2042,2021,3,watch,1
Minerva Risk Advisors,general,1.59,1.0087,-0.2345,0.8315,1.0972,0.5828,21980,2024,1,adequate,0
RM Insurance,composite,1.1868,0.3892,0.1461,1.0837,1.5969,0.7789,1442,2021,1,strong,0
Old Mutual Zimbabwe,reinsurer,1.8276,0.4481,0.0037,0.9587,0.9159,0.7544,10755,2024,4,strong,0
ZB Bank Insurance,composite,1.5475,0.5521,0.0864,0.4948,1.1554,0.8818,1516,2024,2,adequate,0
CABS Insurance,reinsurer,1.5906,0.481,0.2752,0.7022,1.6415,0.7573,2459,2023,2,strong,0
Alliance Insurance,composite,1.0274,1.0164,-0.3767,0.82,1.8022,0.9024,4835,2020,4,adequate,0
Old Mutual Life Assurance Zimbabwe,life,1.1722,0.6762,-0.0552,0.9205,1.3674,0.6661,1194,2021,1,adequate,0
Alliance Insurance,composite,1.0959,0.8105,0.1374,0.9496,1.1114,0.75,3838,2022,1,adequate,0
Tristar Insurance,reinsurer,1.107,0.2227,0.0304,1.1116,1.1639,0.6007,2989,2020,2,strong,0
ZB Life Assurance,general,2.0203,0.6771,-0.3596,0.4734,1.7848,0.9901,705,2020,4,adequate,1
Zimnat Life Assurance,reinsurer,1.1558,0.7074,0.0176,1.1367,0.9487,0.5253,16326,2019,1,adequate,0
Cell Insurance,reinsurer,1.746,0.3925,0.3671,0.8868,1.2649,0.7617,4756,2024,2,strong,0
