Entity Name,Insurance Category,Insurance Type,Physical Address,Email,Telephone,Source
Champions Insurance Company,Short-Term Insurer,Short-Term Insurance,"1 Mold Crescent, Kensington, Harare",info@championsinsurance.co.zw,"0242-700948, /708762, 08677 004 068",IPEC Regulated Entities
Clarion Insurance Company,Short-Term Insurer,Short-Term Insurance,"340 Herbert Chitepo Avenue, Harare",insurance@clarion.co.zw,"0242-250781-3, 04-734039/42/81",IPEC Regulated Entities
Credit Insurance Zimbabwe Limited,Short-Term Insurer,Short-Term Insurance (Credit),"Credsure House, 69 Sam Nujoma Street, Harare",headoffice@credsure.co.zw,"242-706102-4, 242 739 945-7",IPEC Regulated Entities
Econet Insurance,Short-Term Insurer,Short-Term Insurance,"1906 Borrowdale Road, Borrowdale, Harare",econetinsurance@ecocashholdings.co.zw,311,IPEC Regulated Entities
Empaya Insurance Company,Short-Term Insurer,Short-Term Insurance,"30 Arundel Road, Mount Pleasant, Harare",infor@empaya.co.zw,"0242-334 625, 334 629, 334 630, 334 634",IPEC Regulated Entities
Evolution Insurance Company,Short-Term Insurer,Short-Term Insurance,"18 Waterhill Avenue, Eastlea, Harare",info@evolutiongroupltd.co.zw,"0731425053, 0731409554, 0772425053",IPEC Regulated Entities
Export Credit Guarantee Company of Zimbabwe,Short-Term Insurer,Short-Term Insurance (Export Credit),"No. 6 Earls Rd, Alexandra Park, Harare",info@ecgc.co.zw,242 745 452/565/869,IPEC Regulated Entities
FBC Insurance Company,Short-Term Insurer,Short-Term Insurance,"105 Jason Moyo Avenue, Harare",info@fbc.co.zw,,IPEC Regulated Entities
Hamilton Insurance Company,Short-Term Insurer,Short-Term Insurance,"97 Churchill Avenue, Gunhill, Harare",enquiries@hamiltoninsurance.co.zw,0242-745611/31/90,IPEC Regulated Entities
Nicoz Diamond Insurance Company,Short-Term Insurer,Short-Term Insurance,"Ground Floor, Insurance Centre, 30 Samora Machel Ave, Harare",info@nicozdiamond.co.zw,0242-704911-4,IPEC Regulated Entities
Old Mutual Insurance Company,Short-Term Insurer,Short-Term Insurance,"100 The Chase West, Emerald Hill, Harare",contactus@oldmutual.co.zw,242-332646-53/308400,IPEC Regulated Entities
Quality Insurance Company,Short-Term Insurer,Short-Term Insurance,"98 Palmer Road, Milton Park, Harare",info@qualityinsurancecompany.com,0242-778147/778158,IPEC Regulated Entities
Safel Insurance Company,Short-Term Insurer,Short-Term Insurance,"2 Rudland, Rekai Tangwena, Belvedere, Harare",customercare@safel.co.zw,"0772958936, 0731958936",IPEC Regulated Entities
Sanctuary Insurance Company,Short-Term Insurer,Short-Term Insurance,"Sanctuary House, 15 Princes Road, Belvedere, Harare",info@sanctuary.co.zw,0242-785921-4/0712400500,IPEC Regulated Entities
Zimnat Lion Insurance Company,Short-Term Insurer,Short-Term Insurance,"Zimnat House, 3rd Street & Nelson Mandela Ave, Harare",customercare@zimnat.co.zw,"04-707582-6, 70119/80/82/83/88/89",IPEC Regulated Entities
