claim_id,insurer,policy_type,claim_amount,premium,risk_score,claim_status,settlement_days,vehicle_value
CLM-0105,TrustCover,travel,1134,108.98,0.236,paid,5,0
CLM-0106,ZimSecure,health,2744,474.38,0.245,paid,20,0
CLM-0107,Anchor Insurance,travel,5166,767.65,0.469,rejected,10,0
CLM-0108,TrustCover,business,15551,1860.03,0.226,rejected,26,0
CLM-0109,ZimSecure,health,3757,497.65,0.299,paid,10,0
CLM-0110,ZimSecure,health,343,35.35,0.631,paid,15,0
CLM-0111,Heritage Shield,property,48331,6689.89,0.525,pending,28,0
CLM-0112,TrustCover,business,23165,2305.37,0.594,paid,19,0
CLM-0113,TrustCover,health,1469,92.88,0.414,pending,3,0
CLM-0114,Anchor Insurance,property,30780,3250.91,0.411,paid,17,0
CLM-0115,TrustCover,business,19194,1944.09,0.635,pending,38,0
CLM-0116,TrustCover,business,9704,512.23,0.911,rejected,8,0
CLM-0117,Anchor Insurance,business,2179,337.74,0.618,pending,50,0
CLM-0118,Heritage Shield,travel,4451,748.88,0.318,paid,17,0
CLM-0119,PrimeLife,motor,16601,1613.1,0.424,paid,27,13539
CLM-0120,TrustCover,travel,5882,472.62,0.898,rejected,18,0
CLM-0121,Anchor Insurance,motor,16103,1353.17,0.426,rejected,10,29488
CLM-0122,Anchor Insurance,motor,18979,1857.18,0.323,paid,34,35669
CLM-0123,PrimeLife,motor,7870,919.93,0.885,pending,22,34766
CLM-0124,ZimSecure,motor,21844,3318.19,0.719,paid,43,3896
CLM-0125,Anchor Insurance,travel,963,172.3,0.874,pending,10,0
CLM-0126,ZimSecure,health,8465,684.49,0.716,paid,24,0
CLM-0127,PrimeLife,travel,2196,257.32,0.472,rejected,17,0
CLM-0128,Anchor Insurance,health,1443,213.82,0.829,paid,10,0
CLM-0129,Anchor Insurance,property,2168,307.09,0.816,pending,28,0
CLM-0130,PrimeLife,health,7616,821.06,0.433,pending,19,0
CLM-0131,PrimeLife,travel,2836,502.85,0.361,paid,9,0
CLM-0132,PrimeLife,motor,11626,1612.9,0.797,paid,35,12968
CLM-0133,PrimeLife,motor,5336,934.6,0.432,paid,37,31855
CLM-0134,ZimSecure,business,16472,2324.89,0.492,paid,7,0
CLM-0135,Heritage Shield,motor,16584,1449.42,0.706,paid,21,24532
CLM-0136,Anchor Insurance,travel,2794,453.0,0.207,paid,18,0
CLM-0137,TrustCover,health,1780,315.0,0.758,pending,15,0
CLM-0138,ZimSecure,travel,1562,260.04,0.215,pending,12,0
CLM-0139,TrustCover,property,26565,1603.99,0.584,paid,37,0
CLM-0140,Heritage Shield,health,3168,397.04,0.471,pending,4,0
CLM-0141,PrimeLife,business,6189,647.13,0.373,paid,21,0
CLM-0142,ZimSecure,travel,2556,158.77,0.516,paid,20,0
CLM-0143,Anchor Insurance,property,43873,5994.98,0.527,paid,37,0
CLM-0144,PrimeLife,travel,1073,100.21,0.453,paid,10,0
CLM-0145,TrustCover,motor,14169,582.82,0.837,rejected,22,6214
CLM-0146,Anchor Insurance,travel,2544,317.97,0.448,paid,10,0
CLM-0147,Anchor Insurance,property,46417,6541.55,0.681,pending,58,0
CLM-0148,ZimSecure,motor,11323,505.81,0.457,paid,33,22340
CLM-0149,TrustCover,travel,1638,95.83,0.59,rejected,9,0
CLM-0150,Anchor Insurance,business,10430,792.43,0.807,pending,17,0
CLM-0151,TrustCover,property,9547,1668.86,0.287,rejected,39,0
CLM-0152,PrimeLife,business,13485,2032.13,0.191,paid,12,0
CLM-0153,PrimeLife,property,46094,6182.48,0.624,pending,57,0
CLM-0154,TrustCover,motor,8861,385.48,0.852,pending,35,42982
CLM-0155,Heritage Shield,motor,16413,2148.36,0.269,paid,24,5438
CLM-0156,TrustCover,travel,1151,83.88,0.589,paid,6,0
CLM-0157,TrustCover,business,15233,2192.3,0.297,paid,44,0
CLM-0158,ZimSecure,travel,5243,899.0,0.393,pending,16,0
CLM-0159,Heritage Shield,travel,3842,613.81,0.256,pending,10,0
CLM-0160,Anchor Insurance,property,5968,469.22,0.916,rejected,35,0
CLM-0161,PrimeLife,motor,8150,1007.34,0.196,pending,45,18962
CLM-0162,Heritage Shield,business,8224,1284.38,0.601,paid,11,0
CLM-0163,Heritage Shield,property,11670,1938.09,0.182,pending,60,0
CLM-0164,Heritage Shield,health,4406,244.05,0.839,paid,7,0
CLM-0165,TrustCover,health,5604,360.87,0.22,pending,2,0
CLM-0166,Anchor Insurance,motor,3282,337.25,0.455,paid,35,32622
CLM-0167,Anchor Insurance,health,1010,151.15,0.839,pending,25,0
CLM-0168,PrimeLife,motor,3193,506.48,0.504,paid,35,32069
CLM-0169,ZimSecure,motor,11754,714.25,0.276,paid,43,41362
CLM-0170,Anchor Insurance,property,26962,3081.16,0.525,paid,48,0
CLM-0171,ZimSecure,motor,19266,1930.64,0.855,pending,18,32720
CLM-0172,PrimeLife,travel,978,97.55,0.685,paid,13,0
CLM-0173,Heritage Shield,travel,749,117.18,0.251,paid,5,0
CLM-0174,TrustCover,health,1282,222.97,0.607,paid,20,0
CLM-0175,PrimeLife,property,45603,4524.33,0.876,paid,58,0
CLM-0176,TrustCover,business,11738,639.77,0.566,paid,29,0
CLM-0177,PrimeLife,health,2073,328.26,0.459,pending,13,0
CLM-0178,Anchor Insurance,health,7330,1293.28,0.802,pending,19,0
CLM-0179,Anchor Insurance,motor,21155,931.95,0.388,pending,22,25270
CLM-0180,TrustCover,motor,7144,852.17,0.485,paid,14,44495
CLM-0181,ZimSecure,motor,18582,1721.94,0.525,paid,18,23423
CLM-0182,TrustCover,business,21037,3443.08,0.298,pending,12,0
CLM-0183,ZimSecure,motor,10116,1342.1,0.549,paid,33,20902
CLM-0184,Heritage Shield,business,5229,523.88,0.395,paid,29,0
CLM-0185,PrimeLife,business,23360,1082.93,0.48,paid,26,0
CLM-0186,ZimSecure,health,5238,772.23,0.761,paid,8,0
CLM-0187,ZimSecure,motor,17498,1130.32,0.469,pending,32,35785
CLM-0188,Anchor Insurance,property,6723,1080.03,0.212,paid,35,0
CLM-0189,ZimSecure,property,39732,4778.8,0.719,paid,37,0
CLM-0190,ZimSecure,travel,370,23.7,0.9,pending,13,0
CLM-0191,TrustCover,motor,15510,1148.74,0.628,paid,11,28936
CLM-0192,TrustCover,property,16520,2462.74,0.238,paid,31,0
CLM-0193,Anchor Insurance,business,7853,700.13,0.908,pending,29,0
CLM-0194,Heritage Shield,health,1984,150.46,0.312,paid,6,0
CLM-0195,ZimSecure,health,8395,1222.5,0.758,pending,16,0
CLM-0196,Anchor Insurance,business,12090,1018.7,0.514,paid,47,0
CLM-0197,TrustCover,property,40759,3638.63,0.236,paid,13,0
CLM-0198,ZimSecure,motor,13282,673.96,0.837,rejected,23,43305
CLM-0199,Anchor Insurance,business,14098,1709.33,0.905,pending,36,0
CLM-0200,ZimSecure,travel,4883,415.12,0.541,paid,9,0
CLM-0201,ZimSecure,travel,1047,185.88,0.244,paid,13,0
CLM-0202,ZimSecure,health,7472,847.1,0.643,paid,16,0
CLM-0203,TrustCover,travel,3548,479.14,0.22,paid,13,0
CLM-0204,TrustCover,motor,12003,1417.73,0.474,paid,11,42498
CLM-0205,Heritage Shield,property,7341,975.66,0.877,paid,47,0
CLM-0206,PrimeLife,health,1688,199.6,0.669,paid,11,0
CLM-0207,Heritage Shield,business,4562,610.69,0.566,paid,48,0
CLM-0208,TrustCover,health,3809,657.71,0.55,paid,12,0
CLM-0209,Heritage Shield,health,1564,247.46,0.257,pending,11,0
CLM-0210,Anchor Insurance,motor,12235,713.87,0.466,paid,44,43942
CLM-0211,Heritage Shield,travel,557,50.69,0.727,rejected,16,0
CLM-0212,Anchor Insurance,property,31420,3605.81,0.415,pending,24,0
CLM-0213,PrimeLife,health,6326,1091.86,0.928,pending,23,0
CLM-0214,TrustCover,travel,4319,425.91,0.303,paid,19,0
CLM-0215,Anchor Insurance,health,4396,570.45,0.844,pending,3,0
CLM-0216,ZimSecure,business,29391,2348.6,0.76,paid,14,0
CLM-0217,Anchor Insurance,health,7467,1288.04,0.349,paid,4,0
CLM-0218,TrustCover,motor,14795,1412.98,0.464,paid,8,8348
CLM-0219,TrustCover,health,761,129.61,0.818,pending,12,0
CLM-0220,Heritage Shield,health,927,156.14,0.539,pending,11,0
CLM-0221,PrimeLife,travel,5240,874.14,0.194,paid,3,0
CLM-0222,Heritage Shield,business,25330,2884.78,0.265,paid,45,0
CLM-0223,TrustCover,motor,2764,273.02,0.783,pending,20,10265
CLM-0224,PrimeLife,business,19065,2449.35,0.617,pending,8,0
CLM-0225,TrustCover,travel,212,15.62,0.497,paid,14,0
CLM-0226,ZimSecure,business,13316,2310.01,0.594,pending,11,0
CLM-0227,Anchor Insurance,business,2166,351.47,0.213,paid,31,0
CLM-0228,TrustCover,property,3064,460.8,0.442,pending,32,0
CLM-0229,ZimSecure,business,25590,1501.55,0.448,paid,28,0
CLM-0230,Heritage Shield,travel,5896,757.3,0.797,paid,18,0
CLM-0231,PrimeLife,motor,10815,498.93,0.332,paid,17,23321
CLM-0232,Anchor Insurance,travel,4648,350.76,0.753,paid,18,0
CLM-0233,TrustCover,motor,12076,693.48,0.46,pending,22,31818
CLM-0234,PrimeLife,property,14243,1949.72,0.459,pending,41,0
CLM-0235,TrustCover,motor,15110,1515.31,0.936,paid,10,22252
CLM-0236,TrustCover,motor,3823,506.66,0.413,paid,25,30925
CLM-0237,Heritage Shield,travel,3079,141.42,0.841,paid,17,0
CLM-0238,PrimeLife,property,43908,7583.2,0.237,paid,60,0
CLM-0239,TrustCover,business,27750,1731.55,0.204,pending,50,0
CLM-0240,PrimeLife,motor,5336,389.74,0.67,paid,9,40174
